day,retailer_profit,distributor_profit,factory_profit,retailer_holding_cost,distributor_holding_cost,factory_holding_cost,shortage_cost,overtime_cost,service_level,bullwhip_ratio,retailer_eoq,distributor_eoq,factory_eoq,customer_demand,customer_served,retailer_order,factory_supply,retailer_inventory,distributor_inventory,factory_inventory
1,1559.2876712328766,-73.56931506849315,1939.4082191780822,0.7123287671232876,1.569315068493151,4.5917808219178085,1800.0,0.0,0.75,1.0,107,135,114,160,120,104,162,104,358,838
2,301.26712328767144,1924.8997260273973,-4.5917808219178085,0.732876712328767,1.10027397260274,4.5917808219178085,2610.0,0.0,0.6419753086419753,1.0,108,136,80,162,104,107,0,107,251,838
3,-64.73972602739741,310.77698630136985,1628.1534246575343,0.7397260273972602,1.2230136986301372,3.8465753424657536,3060.0,0.0,0.6114285714285714,2.25,109,136,89,175,107,108,136,108,279,702
4,1718.2534246575342,328.6586301369863,1628.8986301369864,0.7465753424657534,1.3413698630136988,3.1013698630136988,1305.0,0.0,0.7883211678832117,0.06532663316582915,107,137,93,137,108,109,136,109,306,566
5,1476.2671232876714,280.52712328767126,192.7123287671233,0.732876712328767,1.4728767123287674,3.287671232876712,1575.0,0.0,0.7569444444444444,0.01869158878504673,106,137,96,144,109,107,137,107,336,600
6,205.27397260273983,262.3912328767123,1641.4630136986302,0.726027397260274,1.6087671232876715,2.536986301369863,2790.0,0.0,0.6331360946745562,0.015263846489315306,107,137,97,169,107,106,137,106,367,463
7,987.2671232876714,1924.8602739726027,-2.536986301369863,0.732876712328767,1.1397260273972605,2.536986301369863,1980.0,0.0,0.7066666666666667,0.013904077487892517,106,137,90,150,106,107,0,107,260,463
8,1195.2739726027398,262.72438356164383,-631.2876712328767,0.726027397260274,1.2756164383561646,3.287671232876712,1800.0,0.0,0.7278911564625851,0.013272077590607452,106,137,92,147,107,106,137,106,291,600
9,1347.2739726027398,262.58849315068494,1641.4630136986302,0.726027397260274,1.4115068493150686,2.536986301369863,1620.0,0.0,0.7464788732394366,0.012895174708818636,105,137,93,142,106,106,137,106,322,463
10,1707.2808219178082,244.44821917808218,1642.213698630137,0.7191780821917808,1.5517808219178084,1.7863013698630137,1260.0,0.0,0.7910447761194029,0.011730205278592375,105,137,95,134,106,105,137,105,354,326
